BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;GESCHLECHT_CODE;GESCHLECHT_BEZEICHNUNG;NATIONALITAET_CODE;NATIONALITAET_BEZEICHNUNG;ANZAHL_PERSONEN
4401;Arbon;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;4818; 
4401;Arbon;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;2561; 
4401;Arbon;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;5090; 
4401;Arbon;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;2249; 
4406;Dozwil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;286; 
4406;Dozwil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;62; 
4406;Dozwil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;292; 
4406;Dozwil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;44; 
4411;Egnach;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;2061; 
4411;Egnach;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;335; 
4411;Egnach;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;2002; 
4411;Egnach;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;289; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;524; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;93; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;501; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;83; 
4421;Horn;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;1159; 
4421;Horn;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;272; 
4421;Horn;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;1211; 
4421;Horn;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;256; 
4426;Kesswil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;387; 
4426;Kesswil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;90; 
4426;Kesswil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;438; 
4426;Kesswil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;85; 
4431;Roggwil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;1382; 
4431;Roggwil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;182; 
4431;Roggwil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;1375; 
4431;Roggwil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;143; 
4436;Romanshorn;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;3658; 
4436;Romanshorn;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;1882; 
4436;Romanshorn;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;4051; 
4436;Romanshorn;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;1645; 
4441;Salmsach;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;521; 
4441;Salmsach;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;226; 
4441;Salmsach;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;524; 
4441;Salmsach;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;183; 
4446;Sommeri;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;240; 
4446;Sommeri;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;64; 
4446;Sommeri;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;269; 
4446;Sommeri;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;35; 
4451;Uttwil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;770; 
4451;Uttwil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;176; 
4451;Uttwil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;775; 
4451;Uttwil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;168; 
4461;Amriswil;2011;Bezirk Arbon;2019;1;Männlich;1;Schweiz;4507; 
4461;Amriswil;2011;Bezirk Arbon;2019;1;Männlich;2;Ausland;2352; 
4461;Amriswil;2011;Bezirk Arbon;2019;2;Weiblich;1;Schweiz;4822; 
4461;Amriswil;2011;Bezirk Arbon;2019;2;Weiblich;2;Ausland;2064; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;2168; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;848; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;2231; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;716; 
4476;Erlen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1387; 
4476;Erlen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;540; 
4476;Erlen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1372; 
4476;Erlen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;465; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;930; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;104; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;869; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;84; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;278; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;20; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;263; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;23; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1350; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;498; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1362; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;395; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1401; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;566; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1466; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;468; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1088; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;178; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1021; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;149; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;799; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;136; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;759; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;134; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1273; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;781; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1315; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;660; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;749; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;121; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;795; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;106; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;3778; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;760; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;3843; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;647; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1151; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;338; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1118; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;251; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;9334; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;3243; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;10159; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;2886; 
