BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;STAATSANGEHOERIGKEIT_CODE;STAATSANGEHOERIGKEIT_BEZEICHNUNG;ANZAHL_PERSONEN
4401;Arbon;2011;Bezirk Arbon;2019;8207;Deutschland;985; 
4401;Arbon;2011;Bezirk Arbon;2019;8218;Italien;691; 
4401;Arbon;2011;Bezirk Arbon;2019;8255;Mazedonien;340; 
4401;Arbon;2011;Bezirk Arbon;2019;8231;Portugal;200; 
4401;Arbon;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);2594; 
4406;Dozwil;2011;Bezirk Arbon;2019;8207;Deutschland;41; 
4406;Dozwil;2011;Bezirk Arbon;2019;8218;Italien;7; 
4406;Dozwil;2011;Bezirk Arbon;2019;8231;Portugal;32; 
4406;Dozwil;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);26; 
4411;Egnach;2011;Bezirk Arbon;2019;8207;Deutschland;177; 
4411;Egnach;2011;Bezirk Arbon;2019;8218;Italien;111; 
4411;Egnach;2011;Bezirk Arbon;2019;8255;Mazedonien;37; 
4411;Egnach;2011;Bezirk Arbon;2019;8231;Portugal;43; 
4411;Egnach;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);256; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;8207;Deutschland;56; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;8218;Italien;29; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;8255;Mazedonien;8; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;8231;Portugal;17; 
4416;Hefenhofen;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);66; 
4421;Horn;2011;Bezirk Arbon;2019;8207;Deutschland;218; 
4421;Horn;2011;Bezirk Arbon;2019;8218;Italien;88; 
4421;Horn;2011;Bezirk Arbon;2019;8255;Mazedonien;8; 
4421;Horn;2011;Bezirk Arbon;2019;8231;Portugal;59; 
4421;Horn;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);155; 
4426;Kesswil;2011;Bezirk Arbon;2019;8207;Deutschland;74; 
4426;Kesswil;2011;Bezirk Arbon;2019;8218;Italien;15; 
4426;Kesswil;2011;Bezirk Arbon;2019;8255;Mazedonien;9; 
4426;Kesswil;2011;Bezirk Arbon;2019;8231;Portugal;22; 
4426;Kesswil;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);55; 
4431;Roggwil;2011;Bezirk Arbon;2019;8207;Deutschland;147; 
4431;Roggwil;2011;Bezirk Arbon;2019;8218;Italien;49; 
4431;Roggwil;2011;Bezirk Arbon;2019;8255;Mazedonien;3; 
4431;Roggwil;2011;Bezirk Arbon;2019;8231;Portugal;7; 
4431;Roggwil;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);119; 
4436;Romanshorn;2011;Bezirk Arbon;2019;8207;Deutschland;784; 
4436;Romanshorn;2011;Bezirk Arbon;2019;8218;Italien;355; 
4436;Romanshorn;2011;Bezirk Arbon;2019;8255;Mazedonien;654; 
4436;Romanshorn;2011;Bezirk Arbon;2019;8231;Portugal;280; 
4436;Romanshorn;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);1454; 
4441;Salmsach;2011;Bezirk Arbon;2019;8207;Deutschland;66; 
4441;Salmsach;2011;Bezirk Arbon;2019;8218;Italien;39; 
4441;Salmsach;2011;Bezirk Arbon;2019;8255;Mazedonien;81; 
4441;Salmsach;2011;Bezirk Arbon;2019;8231;Portugal;31; 
4441;Salmsach;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);192; 
4446;Sommeri;2011;Bezirk Arbon;2019;8207;Deutschland;40; 
4446;Sommeri;2011;Bezirk Arbon;2019;8218;Italien;14; 
4446;Sommeri;2011;Bezirk Arbon;2019;8255;Mazedonien;7; 
4446;Sommeri;2011;Bezirk Arbon;2019;8231;Portugal;5; 
4446;Sommeri;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);33; 
4451;Uttwil;2011;Bezirk Arbon;2019;8207;Deutschland;192; 
4451;Uttwil;2011;Bezirk Arbon;2019;8218;Italien;34; 
4451;Uttwil;2011;Bezirk Arbon;2019;8255;Mazedonien;1; 
4451;Uttwil;2011;Bezirk Arbon;2019;8231;Portugal;11; 
4451;Uttwil;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);106; 
4461;Amriswil;2011;Bezirk Arbon;2019;8207;Deutschland;601; 
4461;Amriswil;2011;Bezirk Arbon;2019;8218;Italien;675; 
4461;Amriswil;2011;Bezirk Arbon;2019;8255;Mazedonien;979; 
4461;Amriswil;2011;Bezirk Arbon;2019;8231;Portugal;392; 
4461;Amriswil;2011;Bezirk Arbon;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);1769; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;8207;Deutschland;262; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;8218;Italien;114; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;8255;Mazedonien;235; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;8231;Portugal;272; 
4471;Bischofszell;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);681; 
4476;Erlen;2015;Bezirk Weinfelden;2019;8207;Deutschland;247; 
4476;Erlen;2015;Bezirk Weinfelden;2019;8218;Italien;143; 
4476;Erlen;2015;Bezirk Weinfelden;2019;8255;Mazedonien;217; 
4476;Erlen;2015;Bezirk Weinfelden;2019;8231;Portugal;54; 
4476;Erlen;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);344; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;8207;Deutschland;82; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;8218;Italien;26; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;8231;Portugal;11; 
4486;Hauptwil-Gottshaus;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);69; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;8207;Deutschland;9; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;8218;Italien;2; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;8255;Mazedonien;10; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;8231;Portugal;2; 
4495;Hohentannen;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);20; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;8207;Deutschland;204; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;8218;Italien;97; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;8255;Mazedonien;213; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;8231;Portugal;22; 
4501;Kradolf-Schönenberg;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);357; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;8207;Deutschland;204; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;8218;Italien;93; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;8255;Mazedonien;229; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;8231;Portugal;44; 
4506;Sulgen;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);464; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;8207;Deutschland;136; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;8218;Italien;9; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;8255;Mazedonien;33; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;8231;Portugal;55; 
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);94; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;8207;Deutschland;84; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;8218;Italien;10; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;55; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;8231;Portugal;38; 
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);83; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;8207;Deutschland;263; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;8218;Italien;226; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;131; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;8231;Portugal;298; 
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);523; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;8207;Deutschland;99; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;8218;Italien;19; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;8231;Portugal;26; 
4546;Schlatt;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);83; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;8207;Deutschland;326; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;8218;Italien;287; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;8255;Mazedonien;211; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;8231;Portugal;61; 
4551;Aadorf;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);522; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;8207;Deutschland;155; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;8218;Italien;132; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;37; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;8231;Portugal;80; 
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);185; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;8207;Deutschland;887; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;8218;Italien;1227; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;420; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;8231;Portugal;1147; 
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);2448; 
4571;Gachnang;2012;Bezirk Frauenfeld;2019;8207;Deutschland;189; 
4571;Gachnang;2012;Bezirk Frauenfeld;2019;8218;Italien;139; 
4571;Gachnang;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;19; 
4571;Gachnang;2012;Bezirk Frauenfeld;2019;8231;Portugal;47; 
4571;Gachnang;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);260; 
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;8207;Deutschland;24; 
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;8218;Italien;4; 
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;8; 
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);46; 
4591;Matzingen;2012;Bezirk Frauenfeld;2019;8207;Deutschland;130; 
4591;Matzingen;2012;Bezirk Frauenfeld;2019;8218;Italien;140; 
4591;Matzingen;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;42; 
4591;Matzingen;2012;Bezirk Frauenfeld;2019;8231;Portugal;93; 
4591;Matzingen;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);388; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;8207;Deutschland;32; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;8218;Italien;3; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;8231;Portugal;1; 
4601;Neunforn;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);30; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;8207;Deutschland;44; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;8218;Italien;5; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;8231;Portugal;11; 
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);42; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;8207;Deutschland;48; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;8218;Italien;11; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;1; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;8231;Portugal;6; 
4611;Thundorf;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);47; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;8207;Deutschland;47; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;8218;Italien;4; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;8255;Mazedonien;6; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;8231;Portugal;2; 
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);38; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;8207;Deutschland;71; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;8218;Italien;12; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;8231;Portugal;17; 
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);56; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;293; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;8218;Italien;63; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;10; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;8231;Portugal;12; 
4641;Altnau;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);106; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;589; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;8218;Italien;40; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;11; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;8231;Portugal;2; 
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);129; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;8207;Deutschland;801; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;8218;Italien;76; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;8255;Mazedonien;23; 
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;8231;Portugal;29; 
